"NAICS","BEA_Sector","BEA_Summary","BEA_Detail","stateior_Summary","ModelSchema"
"33312014","31G","333","333120","333",""
"3331201460","31G","333","333120","333",""
"3331201470","31G","333","333120","333",""
"3331201479","31G","333","333120","333",""
"3331201483","31G","333","333120","333",""
"3331201495","31G","333","333120","333",""
"3331201496","31G","333","333120","333",""
"33312015","31G","333","333120","333",""
"3331201550","31G","333","333120","333",""
"33312016","31G","333","333120","333",""
"3331201670","31G","333","333120","333",""
"3331201682","31G","333","333120","333",""
"3331201687","31G","333","333120","333",""
"3331201690","31G","333","333120","333",""
"3331201693","31G","333","333120","333",""
"33312016A6","31G","333","333120","333",""
"33312016D1","31G","333","333120","333",""
"33312016D3","31G","333","333120","333",""
"33312016D5","31G","333","333120","333",""
"33312016D7","31G","333","333120","333",""
"33312016D9","31G","333","333120","333",""
"33312017","31G","333","333120","333",""
"3331201782","31G","333","333120","333",""
"3331201799","31G","333","333120","333",""
"3331208","31G","333","333120","333",""
"33312081","31G","333","333120","333",""
"3331208103","31G","333","333120","333",""
"3331208105","31G","333","333120","333",""
"3331208115","31G","333","333120","333",""
"3331208126","31G","333","333120","333",""
"3331208148","31G","333","333120","333",""
"3331208152","31G","333","333120","333",""
"3331208195","31G","333","333120","333",""
"3331209","31G","333","333120","333",""
"33312091","31G","333","333120","333",""
"3331209111","31G","333","333120","333",""
"33312092","31G","333","333120","333",""
"3331209245","31G","333","333120","333",""
"33312093","31G","333","333120","333",""
"3331209352","31G","333","333120","333",""
"3331209353","31G","333","333120","333",""
"3331209366","31G","333","333120","333",""
"3331209377","31G","333","333120","333",""
"3331209388","31G","333","333120","333",""
"33313","31G","333","333130","333",""
"333131","31G","333","333130","333",""
"3331311","31G","333","333130","333",""
"33313111","31G","333","333130","333",""
"3331311101","31G","333","333130","333",""
"3331311106","31G","333","333130","333",""
"3331311111","31G","333","333130","333",""
"3331311116","31G","333","333130","333",""
"3331313","31G","333","333130","333",""
"33313131","31G","333","333130","333",""
"3331313100","31G","333","333130","333",""
"3331315","31G","333","333130","333",""
"33313151","31G","333","333130","333",""
"3331315101","31G","333","333130","333",""
"3331315106","31G","333","333130","333",""
"3331315111","31G","333","333130","333",""
"3331315116","31G","333","333130","333",""
"3331315121","31G","333","333130","333",""
"3331315126","31G","333","333130","333",""
"3331315131","31G","333","333130","333",""
"3331315136","31G","333","333130","333",""
"3331315141","31G","333","333130","333",""
"3331317","31G","333","333130","333",""
"33313171","31G","333","333130","333",""
"3331317102","31G","333","333130","333",""
"3331317106","31G","333","333130","333",""
"3331317111","31G","333","333130","333",""
"3331317116","31G","333","333130","333",""
"3331319","31G","333","333130","333",""
"33313198","31G","333","333130","333",""
"3331319800","31G","333","333130","333",""
"333132","31G","333","333130","333",""
"3331321","31G","333","333130","333",""
"33313211","31G","333","333130","333",""
